Notes,County,County Code,Month,Month Code,Year,Month Index,Date,Deaths
,"Autauga County, AL",1001,"Jan., 2018",2018/01,2018,1,1/1/2018,68
,"Autauga County, AL",1001,"Feb., 2018",2018/02,2018,2,2/1/2018,33
,"Autauga County, AL",1001,"Mar., 2018",2018/03,2018,3,3/1/2018,49
,"Autauga County, AL",1001,"Apr., 2018",2018/04,2018,4,4/1/2018,42
,"Autauga County, AL",1001,"May, 2018",2018/05,2018,5,5/1/2018,38
,"Autauga County, AL",1001,"Jun., 2018",2018/06,2018,6,6/1/2018,47
,"Autauga County, AL",1001,"Jul., 2018",2018/07,2018,7,7/1/2018,44
,"Autauga County, AL",1001,"Aug., 2018",2018/08,2018,8,8/1/2018,45
,"Autauga County, AL",1001,"Sep., 2018",2018/09,2018,9,9/1/2018,35
,"Autauga County, AL",1001,"Oct., 2018",2018/10,2018,10,10/1/2018,37
,"Autauga County, AL",1001,"Nov., 2018",2018/11,2018,11,11/1/2018,46
,"Autauga County, AL",1001,"Dec., 2018",2018/12,2018,12,12/1/2018,52
,"Baldwin County, AL",1003,"Jan., 2018",2018/01,2018,1,1/1/2018,265
,"Baldwin County, AL",1003,"Feb., 2018",2018/02,2018,2,2/1/2018,195
,"Baldwin County, AL",1003,"Mar., 2018",2018/03,2018,3,3/1/2018,195
,"Baldwin County, AL",1003,"Apr., 2018",2018/04,2018,4,4/1/2018,186
,"Baldwin County, AL",1003,"May, 2018",2018/05,2018,5,5/1/2018,199
,"Baldwin County, AL",1003,"Jun., 2018",2018/06,2018,6,6/1/2018,158
,"Baldwin County, AL",1003,"Jul., 2018",2018/07,2018,7,7/1/2018,195
,"Baldwin County, AL",1003,"Aug., 2018",2018/08,2018,8,8/1/2018,184
,"Baldwin County, AL",1003,"Sep., 2018",2018/09,2018,9,9/1/2018,180
,"Baldwin County, AL",1003,"Oct., 2018",2018/10,2018,10,10/1/2018,181
,"Baldwin County, AL",1003,"Nov., 2018",2018/11,2018,11,11/1/2018,196
,"Baldwin County, AL",1003,"Dec., 2018",2018/12,2018,12,12/1/2018,223
,"Barbour County, AL",1005,"Jan., 2018",2018/01,2018,1,1/1/2018,32
,"Barbour County, AL",1005,"Feb., 2018",2018/02,2018,2,2/1/2018,19
,"Barbour County, AL",1005,"Mar., 2018",2018/03,2018,3,3/1/2018,26
,"Barbour County, AL",1005,"Apr., 2018",2018/04,2018,4,4/1/2018,29
,"Barbour County, AL",1005,"May, 2018",2018/05,2018,5,5/1/2018,24
,"Barbour County, AL",1005,"Jun., 2018",2018/06,2018,6,6/1/2018,25
,"Barbour County, AL",1005,"Jul., 2018",2018/07,2018,7,7/1/2018,28
,"Barbour County, AL",1005,"Aug., 2018",2018/08,2018,8,8/1/2018,26
,"Barbour County, AL",1005,"Sep., 2018",2018/09,2018,9,9/1/2018,23
,"Barbour County, AL",1005,"Oct., 2018",2018/10,2018,10,10/1/2018,24
,"Barbour County, AL",1005,"Nov., 2018",2018/11,2018,11,11/1/2018,32
,"Barbour County, AL",1005,"Dec., 2018",2018/12,2018,12,12/1/2018,24
,"Bibb County, AL",1007,"Jan., 2018",2018/01,2018,1,1/1/2018,24
,"Bibb County, AL",1007,"Feb., 2018",2018/02,2018,2,2/1/2018,28
,"Bibb County, AL",1007,"Mar., 2018",2018/03,2018,3,3/1/2018,27
,"Bibb County, AL",1007,"Apr., 2018",2018/04,2018,4,4/1/2018,22
