Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
09/23/2020,02/01/2020,09/19/2020,AL,Autauga County,1001,25,325
09/23/2020,02/01/2020,09/19/2020,AL,Baldwin County,1003,67,1390
09/23/2020,02/01/2020,09/19/2020,AL,Bibb County,1007,10,118
09/23/2020,02/01/2020,09/19/2020,AL,Blount County,1009,11,330
09/23/2020,02/01/2020,09/19/2020,AL,Butler County,1013,24,146
09/23/2020,02/01/2020,09/19/2020,AL,Calhoun County,1015,63,1003
09/23/2020,02/01/2020,09/19/2020,AL,Clay County,1027,15,110
09/23/2020,02/01/2020,09/19/2020,AL,Colbert County,1033,32,405
09/23/2020,02/01/2020,09/19/2020,AL,Covington County,1039,54,376
09/23/2020,02/01/2020,09/19/2020,AL,Crenshaw County,1041,24,138
09/23/2020,02/01/2020,09/19/2020,AL,Cullman County,1043,25,657
09/23/2020,02/01/2020,09/19/2020,AL,Dale County,1045,50,330
09/23/2020,02/01/2020,09/19/2020,AL,Dallas County,1047,38,329
09/23/2020,02/01/2020,09/19/2020,AL,DeKalb County,1049,15,443
09/23/2020,02/01/2020,09/19/2020,AL,Elmore County,1051,30,443
09/23/2020,02/01/2020,09/19/2020,AL,Escambia County,1053,19,242
09/23/2020,02/01/2020,09/19/2020,AL,Etowah County,1055,107,1085
09/23/2020,02/01/2020,09/19/2020,AL,Franklin County,1059,12,192
09/23/2020,02/01/2020,09/19/2020,AL,Houston County,1069,182,1305
09/23/2020,02/01/2020,09/19/2020,AL,Jackson County,1071,14,418
09/23/2020,02/01/2020,09/19/2020,AL,Jefferson County,1073,524,6411
09/23/2020,02/01/2020,09/19/2020,AL,Lauderdale County,1077,51,918
09/23/2020,02/01/2020,09/19/2020,AL,Lee County,1081,126,844
09/23/2020,02/01/2020,09/19/2020,AL,Limestone County,1083,29,508
09/23/2020,02/01/2020,09/19/2020,AL,Madison County,1089,121,2628
09/23/2020,02/01/2020,09/19/2020,AL,Marengo County,1091,15,161
09/23/2020,02/01/2020,09/19/2020,AL,Marion County,1093,23,260
09/23/2020,02/01/2020,09/19/2020,AL,Marshall County,1095,46,767
09/23/2020,02/01/2020,09/19/2020,AL,Mobile County,1097,363,3433
09/23/2020,02/01/2020,09/19/2020,AL,Montgomery County,1101,311,2096
09/23/2020,02/01/2020,09/19/2020,AL,Morgan County,1103,46,862
09/23/2020,02/01/2020,09/19/2020,AL,Pike County,1109,14,193
09/23/2020,02/01/2020,09/19/2020,AL,St. Clair County,1115,32,530
09/23/2020,02/01/2020,09/19/2020,AL,Shelby County,1117,64,933
09/23/2020,02/01/2020,09/19/2020,AL,Talladega County,1121,24,540
09/23/2020,02/01/2020,09/19/2020,AL,Tallapoosa County,1123,66,362
09/23/2020,02/01/2020,09/19/2020,AL,Tuscaloosa County,1125,181,1543
09/23/2020,02/01/2020,09/19/2020,AL,Walker County,1127,60,664
09/23/2020,02/01/2020,09/19/2020,AL,Washington County,1129,10,87
09/23/2020,02/01/2020,09/19/2020,AK,Anchorage Borough,2020,29,1279
09/23/2020,02/01/2020,09/19/2020,AK,Fairbanks North Star Borough,2090,10,285
09/23/2020,02/01/2020,09/19/2020,AZ,Apache County,4001,42,342
09/23/2020,02/01/2020,09/19/2020,AZ,Cochise County,4003,30,713
09/23/2020,02/01/2020,09/19/2020,AZ,Coconino County,4005,124,831
09/23/2020,02/01/2020,09/19/2020,AZ,Gila County,4007,27,484
09/23/2020,02/01/2020,09/19/2020,AZ,Graham County,4009,21,213
09/23/2020,02/01/2020,09/19/2020,AZ,Maricopa County,4013,3253,28384
09/23/2020,02/01/2020,09/19/2020,AZ,Mohave County,4015,184,2379
09/23/2020,02/01/2020,09/19/2020,AZ,Navajo County,4017,58,696
09/23/2020,02/01/2020,09/19/2020,AZ,Pima County,4019,716,8230
09/23/2020,02/01/2020,09/19/2020,AZ,Pinal County,4021,79,1797
09/23/2020,02/01/2020,09/19/2020,AZ,Yavapai County,4025,75,2088
09/23/2020,02/01/2020,09/19/2020,AZ,Yuma County,4027,304,1498
09/23/2020,02/01/2020,09/19/2020,AR,Benton County,5007,96,1236
09/23/2020,02/01/2020,09/19/2020,AR,Chicot County,5017,10,70
09/23/2020,02/01/2020,09/19/2020,AR,Columbia County,5027,14,175
09/23/2020,02/01/2020,09/19/2020,AR,Craighead County,5031,87,1333
09/23/2020,02/01/2020,09/19/2020,AR,Crittenden County,5035,15,233
09/23/2020,02/01/2020,09/19/2020,AR,Faulkner County,5045,19,672
09/23/2020,02/01/2020,09/19/2020,AR,Garland County,5051,72,1178
09/23/2020,02/01/2020,09/19/2020,AR,Howard County,5061,10,106
09/23/2020,02/01/2020,09/19/2020,AR,Independence County,5063,14,320
09/23/2020,02/01/2020,09/19/2020,AR,Jefferson County,5069,72,640
09/23/2020,02/01/2020,09/19/2020,AR,Little River County,5081,22,111
09/23/2020,02/01/2020,09/19/2020,AR,Mississippi County,5093,19,248
09/23/2020,02/01/2020,09/19/2020,AR,Newton County,5101,13,72
09/23/2020,02/01/2020,09/19/2020,AR,Pope County,5115,20,431
09/23/2020,02/01/2020,09/19/2020,AR,Pulaski County,5119,217,4150
09/23/2020,02/01/2020,09/19/2020,AR,Randolph County,5121,10,106
09/23/2020,02/01/2020,09/19/2020,AR,Saline County,5125,13,586
09/23/2020,02/01/2020,09/19/2020,AR,Sebastian County,5131,67,1451
09/23/2020,02/01/2020,09/19/2020,AR,Union County,5139,27,344
09/23/2020,02/01/2020,09/19/2020,AR,Washington County,5143,116,1540
09/23/2020,02/01/2020,09/19/2020,AR,White County,5145,22,594
09/23/2020,02/01/2020,09/19/2020,CA,Alameda County,6001,357,7014
09/23/2020,02/01/2020,09/19/2020,CA,Amador County,6005,27,289
09/23/2020,02/01/2020,09/19/2020,CA,Butte County,6007,36,1405
09/23/2020,02/01/2020,09/19/2020,CA,Contra Costa County,6013,180,5231
09/23/2020,02/01/2020,09/19/2020,CA,Fresno County,6019,360,5307
