iter	Passed	Remaining
0	177	177517
1	288	143833
2	396	131909
3	509	126853
4	624	124374
5	738	122336
6	856	121459
7	982	121815
8	1120	123405
9	1249	123665
10	1368	123076
11	1487	122470
12	1609	122188
13	1722	121310
14	1841	120948
15	1957	120396
16	2076	120099
17	2206	120377
18	2340	120843
19	2473	121201
20	2609	121638
21	2727	121230
22	2842	120725
23	2956	120245
24	3083	120249
25	3231	121049
26	3370	121473
27	3504	121669
28	3638	121831
29	3779	122214
30	3921	122587
31	4049	122490
32	4173	122284
33	4292	121968
34	4404	121448
35	4527	121238
36	4651	121074
37	4773	120832
38	4897	120681
39	5023	120556
40	5145	120345
41	5258	119951
42	5368	119475
43	5482	119112
44	5594	118719
45	5707	118367
46	5820	118016
47	5936	117739
48	6059	117605
49	6166	117166
50	6278	116820
51	6384	116390
52	6498	116111
53	6607	115761
54	6722	115507
55	6837	115266
56	6944	114888
57	7052	114534
58	7160	114205
59	7272	113933
60	7379	113595
61	7495	113400
62	7601	113055
63	7696	112566
64	7790	112059
65	7880	111526
66	7976	111072
67	8078	110717
68	8178	110352
69	8273	109917
70	8368	109493
71	8466	109127
72	8567	108795
73	8661	108385
74	8756	107999
75	8865	107782
76	8972	107551
77	9073	107255
78	9169	106896
79	9262	106523
80	9356	106159
81	9450	105801
82	9552	105535
83	9643	105163
84	9739	104847
85	9835	104535
86	9935	104262
87	10038	104036
88	10156	103960
89	10273	103876
90	10378	103673
91	10492	103558
92	10595	103337
93	10695	103081
94	10802	102911
95	10911	102748
96	11020	102593
97	11124	102391
98	11227	102185
99	11329	101968
100	11436	101792
101	11554	101720
102	11660	101547
103	11768	101392
104	11875	101223
105	11984	101075
106	12094	100942
107	12199	100758
108	12308	100615
109	12419	100488
110	12536	100403
111	12649	100289
112	12762	100180
113	12871	100036
114	12975	99856
115	13083	99705
116	13206	99672
117	13315	99528
118	13430	99430
119	13555	99407
120	13675	99348
121	13791	99253
122	13909	99179
123	14027	99100
124	14151	99057
125	14258	98904
126	14366	98755
127	14479	98644
128	14600	98578
129	14712	98459
130	14824	98341
131	14937	98228
132	15058	98160
133	15166	98015
134	15273	97864
135	15387	97757
136	15506	97681
137	15619	97562
138	15734	97465
139	15847	97347
140	15964	97258
141	16072	97115
142	16181	96976
143	16289	96833
144	16400	96705
145	16531	96696
146	16642	96570
147	16757	96468
148	16873	96370
149	16986	96254
150	17107	96185
151	17227	96113
152	17359	96100
153	17471	95977
154	17583	95856
155	17695	95734
156	17810	95629
157	17928	95541
158	18037	95404
159	18153	95304
160	18278	95253
161	18394	95152
162	18521	95108
163	18638	95010
164	18764	94959
165	18892	94916
166	19036	94956
167	19159	94883
168	19277	94791
169	19393	94685
170	19510	94584
171	19626	94479
172	19742	94375
173	19866	94307
174	19989	94236
175	20121	94204
176	20258	94194
177	20384	94134
178	20512	94080
179	20630	93983
180	20746	93875
181	20864	93773
182	21021	93852
183	21149	93791
184	21269	93699
185	21387	93597
186	21511	93523
187	21625	93401
188	21738	93279
189	21848	93141
190	21962	93023
191	22084	92938
192	22200	92828
193	22329	92772
194	22466	92745
195	22610	92750
196	22732	92661
197	22845	92535
198	22956	92404
199	23073	92293
200	23184	92162
201	23298	92039
202	23415	91932
203	23543	91865
204	23662	91764
205	23777	91646
206	23894	91537
207	24010	91424
208	24141	91366
209	24276	91326
210	24395	91224
211	24520	91142
212	24637	91030
213	24749	90902
214	24857	90758
215	24963	90610
216	25072	90468
217	25181	90331
218	25292	90197
219	25404	90071
220	25526	89978
221	25648	89885
222	25759	89753
223	25868	89617
224	25986	89510
225	26101	89391
226	26212	89260
227	26324	89133
228	26443	89030
229	26564	88932
